Ground Truth Ride Name    Omitted Ride Name                      Rating    Date
Ferris Wheel              Scenic views of the surrounding area.     4/5       2024-09-30
Roller Coaster            Exhilarating twists and turns!            4.5/5     2024-10-27
Ferris Wheel              A mesmerizing ride under the stars.       4/5       2024-11-23    
Roller Coaster            It was thrilling and fast-paced.        4/5       2023-01-15
Ferris Wheel              The view from the top was amazing.      5/5       2023-02-10
Carousel                  Great fun for the kids.                  3/5       2023-04-01
Water Dunk Challenge      Exciting splashes and laughs.            4/5       2023-05-18
Slime Ranch               Messy and slimy fun for everyone.        3.5/5     2023-06-12
Tiltawhirl                Spinning and twirling excitement.        4/5       2023-07-09
The Elote Cart            Delicious snacks on the go.              4.5/5     2023-08-05
Sky Flyer                 Soaring through the skies.               5/5       2023-09-01
Roller Coaster            Thrilling drops and loops.               4/5       2023-09-28
Ferris Wheel              Enjoyed the romantic sunset view.        4/5       2023-10-25
Carousel                  Classic ride with whimsical music.        3.5/5     2023-11-21
Water Dunk Challenge      Heart-racing plunges into the water.      4.5/5     2023-12-18
Slime Ranch               Messy but entertaining experience.        3/5       2024-01-14
Tiltawhirl                Spinning fun for the whole family.        4/5       2024-02-10
The Elote Cart            Tasty corn snacks for everyone.           4.5/5     2024-03-07
Sky Flyer                 Adrenaline-filled high-altitude adventure.5/5       2024-04-03
Roller Coaster            Non-stop thrills and excitement.          4/5       2024-05-01
Ferris Wheel              Stunning panoramic views from above.      4.5/5     2024-05-28
Carousel                  Whirling joyride with nostalgic charm.    3.5/5     2024-06-24
Water Dunk Challenge      Splashing good time for all ages.         4/5       2024-07-21
Slime Ranch               Get slimed and have a blast.              3/5       2024-08-18
Tiltawhirl                Spinning sensation with laughter.         4.5/5     2024-09-14
The Elote Cart            Mouthwatering corn treats to savor.       4/5       2024-10-11
Sky Flyer                 A breathtaking flight in the sky.         5/5       2024-11-08
Roller Coaster            Heart-pounding twists and turns.          4/5       2024-12-05
Ferris Wheel              Mesmerizing views under the stars.        4.5/5     2024-12-31
